property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,host_has_profile_pic,host_identity_verified,host_since,instant_bookable,last_review,latitude,longitude,number_of_reviews,review_scores_rating,bedrooms,beds,host_response_rate_n,host_since_na,last_review_na,review_scores_rating_na,host_response_rate_n_na,price
1,1,0,0,1,1,1,0,2,47,1,25,40.72716126506428,-73.98523744526591,14,100.0,1,0,1.0,0,0,0,0,79.0
1,1,0,0,1,1,0,0,1,73,0,25,40.714487747886736,-73.95115266528333,0,96.0,0,0,1.0,0,1,1,0,74.99999999999997
1,1,0,0,1,1,0,0,2,37,1,25,40.80289211911492,-73.94033856279809,0,96.0,0,0,0.83,0,1,1,0,64.99999999999999
0,1,1,1,1,2,0,0,1,97,1,24,40.68748601684504,-73.95494001682772,90,97.0,0,0,1.0,0,0,0,0,79.0
0,1,1,0,0,0,1,0,2,49,0,25,40.60077444605461,-74.0778785237267,33,94.0,0,0,1.0,0,0,0,0,34.99999999999998
1,2,1,0,1,0,1,0,1,59,1,26,40.80449266155112,-73.94742835083366,10,96.0,0,0,1.0,0,0,0,0,171.00000000000009
1,1,1,0,1,2,1,0,2,74,1,25,40.712275105927546,-73.9532349631332,82,96.0,0,0,1.0,0,0,0,0,70.00000000000003
1,2,3,0,1,2,0,0,2,50,0,47,40.78502041121264,-73.94762747598166,14,74.0,0,1,1.0,0,0,0,1,189.00000000000037
1,1,1,0,1,2,1,0,1,83,1,28,40.77989687913148,-73.94817139228249,12,92.0,0,0,0.7,0,0,0,0,74.99999999999997
1,1,0,0,1,1,0,0,1,65,1,25,40.67466667301879,-73.96556869616852,0,96.0,0,0,1.0,0,1,1,1,59.999999999999986
1,2,2,0,1,2,0,0,2,45,0,27,40.72450648818758,-73.97537445625512,1,100.0,0,1,1.0,0,0,0,1,100.00000000000004
1,2,4,0,1,2,1,0,2,27,0,25,40.68614009609573,-74.00493290402909,6,87.0,0,1,1.0,0,0,0,0,164.9999999999998
1,2,2,0,1,1,1,0,1,79,1,25,40.724790794801095,-74.00298177389804,1,100.0,0,1,1.0,0,0,0,0,150.00000000000009
1,2,1,0,1,0,1,0,1,74,1,29,40.71867360470324,-73.95569865550955,9,93.0,0,0,1.0,0,0,0,1,125.00000000000004
1,1,1,0,1,1,1,0,1,59,1,30,40.701241372563466,-73.91385616815542,11,95.0,0,0,1.0,0,0,0,0,52.000000000000036
1,2,3,0,1,0,1,0,1,43,0,29,40.733368646389714,-74.00230186792322,1,80.0,2,1,1.0,0,0,0,0,260.00000000000017
1,0,0,0,1,1,1,0,1,60,0,25,40.63424728368005,-73.94862013836726,0,96.0,0,0,1.0,0,1,1,0,45.000000000000014
1,1,0,0,1,1,1,0,1,70,0,28,40.79406374777749,-73.96420132672256,2,90.0,0,0,1.0,0,0,0,1,110.00000000000004
